"date","I_0","I_1+","R_mean","R_q.025","R_q.975"
"2020-01-20",1,0,NA,NA,NA
"2020-01-21",0,0,NA,NA,NA
"2020-01-22",0,0,NA,NA,NA
"2020-01-23",1,0,NA,NA,NA
"2020-01-24",2,0,NA,NA,NA
"2020-01-25",0,0,NA,NA,NA
"2020-01-26",0,0,NA,NA,NA
"2020-01-27",5,0,NA,NA,NA
"2020-01-28",7,0,NA,NA,NA
"2020-01-29",3,0,NA,NA,NA
"2020-01-30",3,0,NA,NA,NA
"2020-01-31",3,0,NA,NA,NA
"2020-02-01",2,0,NA,NA,NA
"2020-02-02",0,0,NA,NA,NA
"2020-02-03",0,0,NA,NA,NA
"2020-02-04",0,14,NA,NA,NA
"2020-02-05",1,3,NA,NA,NA
"2020-02-06",0,2,NA,NA,NA
"2020-02-07",0,3,NA,NA,NA
"2020-02-08",0,7,NA,NA,NA
"2020-02-09",0,3,NA,NA,NA
"2020-02-10",1,1,NA,NA,NA
"2020-02-11",1,1,NA,NA,NA
"2020-02-12",0,3,NA,NA,NA
"2020-02-13",0,8,NA,NA,NA
"2020-02-14",0,9,NA,NA,NA
"2020-02-15",0,5,NA,NA,NA
"2020-02-16",0,3,NA,NA,NA
"2020-02-17",1,1,NA,NA,NA
"2020-02-18",0,4,1.11431224479213,0.771693622725359,1.5188819624288
"2020-02-19",0,3,1.09037892173827,0.75511910076564,1.48625924571955
"2020-02-20",0,3,0.90756309089966,0.607809245632047,1.26645096441963
"2020-02-21",0,1,0.654245842565333,0.404988488212503,0.962313944114846
"2020-02-22",0,3,0.617906291063239,0.372019951602725,0.925160528208652
"2020-02-23",0,0,0.565431000301629,0.323192671806468,0.874305419011592
"2020-02-24",0,1,0.623092613443703,0.356151265873855,0.963465477112709
"2020-02-25",0,1,0.562487738457895,0.299501030952133,0.906971889864761
"2020-02-26",0,2,0.579881724945838,0.299633349141839,0.951104536961996
"2020-02-27",0,3,0.653954988050132,0.337908085094032,1.07259727173072
"2020-02-28",0,2,0.792427554145353,0.421934298642806,1.27773365928744
"2020-02-29",0,4,0.931160123185557,0.509073904209552,1.47857558582975
"2020-03-01",0,4,1.26160230136718,0.747705479966711,1.90772819239156
"2020-03-02",0,2,1.33228467826374,0.802122407065771,1.99476395449197
"2020-03-03",0,2,1.33617560836817,0.816170774458438,1.98227354109081
"2020-03-04",0,2,1.26178692210896,0.770732232327534,1.87191475022183
"2020-03-05",1,4,1.2569234281956,0.778055412607348,1.84877742118243
"2020-03-06",2,11,1.70734086651244,1.1519357130234,2.37029207338775
"2020-03-07",2,6,1.63806554732813,1.1204356217578,2.25244381217267
"2020-03-08",1,11,1.69757003106325,1.20713823997856,2.27030269021701
"2020-03-09",3,7,1.62228377976046,1.17875387787452,2.13554184126973
"2020-03-10",0,6,1.48869042737286,1.09764280216957,1.93840012105785
"2020-03-11",8,4,1.32372585088947,0.982494841013999,1.7150350598708
"2020-03-12",5,4,1.14658177729604,0.851015095185361,1.4855250773794
"2020-03-13",9,4,0.862523684132418,0.624212666959455,1.13876793109879
"2020-03-14",9,3,0.72339304912852,0.516802599995261,0.964179559195207
"2020-03-15",9,5,0.568339666467212,0.393591740739078,0.77468489820901
"2020-03-16",11,6,0.516262646452427,0.355371451051762,0.706723702501817
"2020-03-17",17,6,0.485636385753709,0.334289742391292,0.664798716250118
"2020-03-18",33,14,0.584613419158641,0.423087630202717,0.771850125480925
"2020-03-19",24,8,0.562547655835284,0.413338858140255,0.734394638461228
"2020-03-20",30,10,0.538014165117662,0.403009528939655,0.692222036062
"2020-03-21",39,8,0.498527195899728,0.378552600859357,0.634763602665544
"2020-03-22",18,19,0.523892333949865,0.40991348602526,0.651640853624882
"2020-03-23",48,6,0.447283106469844,0.34997148370338,0.556350850020055
"2020-03-24",32,17,0.445955131374641,0.355200772838792,0.546878652235204
"2020-03-25",38,35,0.487974823557552,0.398710791708118,0.586120896932917
"2020-03-26",28,24,0.499558076494708,0.414183291603737,0.592814087326071
"2020-03-27",22,27,0.513948652599071,0.431493786083765,0.603506173665537
"2020-03-28",41,29,0.544051694712152,0.462526646157947,0.632096555147324
"2020-03-29",24,18,0.503227280287177,0.427589804415867,0.584933729690898
"2020-03-30",9,26,0.533380725684113,0.457695065517589,0.614772459210656
"2020-03-31",16,31,0.552176032176102,0.476640618061158,0.633185769944436
"2020-04-01",20,54,0.594081689113895,0.516444001216176,0.677076455476721
"2020-04-02",8,41,0.633570950186487,0.553825917165593,0.718601430063661
"2020-04-03",9,56,0.708441820594698,0.62430937868737,0.797814997144134
"2020-04-04",6,69,0.811976329161116,0.72210046740032,0.907047317497742
"2020-04-05",4,116,1.06643136620348,0.963716877691455,1.17427219538983
"2020-04-06",1,65,1.13517123637316,1.03075395758114,1.24455388280396
"2020-04-07",3,103,1.24856170122253,1.14202589846742,1.35978031743365
"2020-04-08",2,140,1.36355360667335,1.25582230686113,1.47565491187774
