"date","I_0","I_1+","R_mean","R_q.025","R_q.975"
"2020-01-23",1,0,NA,NA,NA
"2020-01-24",0,0,NA,NA,NA
"2020-01-25",0,1,NA,NA,NA
"2020-01-26",0,0,NA,NA,NA
"2020-01-27",0,3,NA,NA,NA
"2020-01-28",0,0,NA,NA,NA
"2020-01-29",0,0,NA,NA,NA
"2020-01-30",0,0,NA,NA,NA
"2020-01-31",0,1,NA,NA,NA
"2020-02-01",0,1,NA,NA,NA
"2020-02-02",0,1,NA,NA,NA
"2020-02-03",1,2,NA,NA,NA
"2020-02-04",0,0,NA,NA,NA
"2020-02-05",0,0,NA,NA,NA
"2020-02-06",1,0,NA,NA,NA
"2020-02-07",0,0,NA,NA,NA
"2020-02-08",0,0,NA,NA,NA
"2020-02-09",0,0,NA,NA,NA
"2020-02-10",0,0,NA,NA,NA
"2020-02-11",1,0,NA,NA,NA
"2020-02-12",0,0,NA,NA,NA
"2020-02-13",1,0,NA,NA,NA
"2020-02-14",1,0,NA,NA,NA
"2020-02-15",0,0,NA,NA,NA
"2020-02-16",0,0,NA,NA,NA
"2020-02-17",0,0,NA,NA,NA
"2020-02-18",0,0,NA,NA,NA
"2020-02-19",0,0,NA,NA,NA
"2020-02-20",0,0,NA,NA,NA
"2020-02-21",0,0,NA,NA,NA
"2020-02-22",19,1,NA,NA,NA
"2020-02-23",0,0,NA,NA,NA
"2020-02-24",0,0,NA,NA,NA
"2020-02-25",18,0,NA,NA,NA
"2020-02-26",0,0,NA,NA,NA
"2020-02-27",6,0,0.0964443886356976,0.011679862895533,0.268676870267614
"2020-02-28",0,0,0.0769468968861102,0.0093186261904908,0.214360334744376
"2020-02-29",0,3,0.129793102913579,0.0353642521502568,0.284482893953128
"2020-03-01",0,0,0.121451442928238,0.0330914305561101,0.266199491216522
"2020-03-02",0,2,0.186988772901614,0.0686215840865618,0.363641182886848
"2020-03-03",0,2,0.256544882564951,0.110757871272874,0.462507944617544
"2020-03-04",0,44,1.7838298297697,1.33224943884077,2.30030281369491
"2020-03-05",0,21,2.47395541241387,1.9391861228646,3.07285880927571
"2020-03-06",0,19,2.48505723866285,2.0033068722687,3.01793548825538
"2020-03-07",0,65,3.24146494702649,2.74973124805592,3.77305223465509
"2020-03-08",0,0,2.39023583173596,2.02763449988145,2.78222494880193
"2020-03-09",0,0,1.75975862158272,1.49112422652163,2.05031367822203
"2020-03-10",0,259,3.92875535357051,3.55718218833181,4.31852156264143
"2020-03-11",0,224,4.16480750815966,3.83520876410153,4.50779921606633
"2020-03-12",0,291,3.86310015146938,3.60904820271585,4.12567047107612
"2020-03-13",0,277,3.29002894519659,3.09989414339582,3.48574290535567
"2020-03-14",0,414,2.96322987916426,2.81346701285853,3.11682152338159
"2020-03-15",0,0,2.13395112686619,2.02610035242476,2.244559171338
"2020-03-16",0,0,1.65319120631818,1.56963823752877,1.73888025709666
"2020-03-17",0,1825,2.90252418386163,2.80011981953738,3.00674191831494
"2020-03-18",0,1822,3.53448628525198,3.43340278173615,3.63701585662391
"2020-03-19",0,3551,4.20157524286155,4.1093716806823,4.29478754980099
"2020-03-20",0,3355,3.82256763841824,3.7513598565341,3.89443561950792
"2020-03-21",0,4777,3.48167604065967,3.4267788147333,3.53700346216794
"2020-03-22",0,0,2.36684050946791,2.32952142042499,2.40445204511365
"2020-03-23",0,16354,3.63022136017069,3.59035812937557,3.67030162533744
"2020-03-24",0,10591,3.35500703799152,3.32239100038702,3.3877801890979
"2020-03-25",0,9750,2.73529000653826,2.71096981371883,2.75971730095639
"2020-03-26",0,11656,2.32950053828501,2.31032870943909,2.34875049157239
"2020-03-27",0,4764,1.84996839110718,1.83492916179721,1.86506815280706
"2020-03-28",0,16894,1.84032705529441,1.82671986040169,1.85398404505618
"2020-03-29",0,18093,1.97518931047401,1.9621680390216,1.98825305051061
"2020-03-30",0,19332,1.72074288601008,1.70958572268891,1.7319358373748
"2020-03-31",0,17987,1.58289563975163,1.57302459143488,1.59279713666378
"2020-04-01",0,22559,1.57457131375804,1.56533369068905,1.58383573910021
"2020-04-02",0,24103,1.55958081525017,1.5509028912185,1.56828261586605
"2020-04-03",0,26298,1.63407823001176,1.6256858296638,1.64249193900152
"2020-04-04",0,28103,1.56371122021625,1.55597284738222,1.57146852340382
"2020-04-05",0,32105,1.51180411064907,1.50463627735544,1.51898874171269
"2020-04-06",0,33510,1.46977832808335,1.46308229497196,1.4764894381913
"2020-04-07",0,26493,1.39131582455817,1.38511822152273,1.39752707127266
"2020-04-08",0,29510,1.31847643917388,1.31270608630001,1.32425927235623
"2020-04-09",0,31709,1.26986310498906,1.26440809529787,1.27532969471152
"2020-04-10",0,30859,1.21842994696662,1.2132523532889,1.22361841293334
"2020-04-11",0,0,1.00233468960211,0.997762314384169,1.00691737351586
"2020-04-12",0,31606,0.972145117833206,0.967704446510966,0.976595814521788
"2020-04-13",0,31633,0.962869351858131,0.958448431588525,0.967300304349957
"2020-04-14",0,29308,0.983574561328483,0.979093096124347,0.988066118233409
"2020-04-15",0,24446,0.962202120069074,0.957756714282194,0.966657676691902
"2020-04-16",0,25802,0.935743522694176,0.931347528284818,0.940149724605326
"2020-04-17",0,28711,0.934340914848433,0.929924140218706,0.938768009329522
"2020-04-18",0,32549,1.12800965090129,1.1231206379952,1.13290913541596
"2020-04-19",0,30023,1.11551895393198,1.11066523490913,1.12038310957286
"2020-04-20",0,28252,1.06845701558815,1.06376880149484,1.07315539575381
"2020-04-21",0,27668,1.03824186805465,1.03366737363243,1.04282632311014
