"C_us-cn_T_mean","C_us-cn_T_q.025","C_us-cn_T_q.975","date_T","C_us-cn_E_mean","C_us-cn_E_q.025","C_us-cn_E_q.975","date_E","C_us_T","C_us_E_mean","C_us_E_std","C_us_E_lb","C_us_E_ub"
6485.69,6032.825,6836.15,2020-03-15,6487.89,6034.925,6844.925,2020-03-15,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
5212.61,4957.475,5578.525,2020-03-16,5213.88,4957.95,5584.775,2020-03-16,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
4363.97,4130.925,4698.05,2020-03-17,4365.2,4130.925,4698.05,2020-03-17,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
13298.52,12715.8,13877.575,2020-03-18,13304.19,12721.325,13881.725,2020-03-18,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
21961.02,21253.325,22579.5,2020-03-19,21970.59,21255.85,22595.525,2020-03-19,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
37989.22,36877.45,39175.5,2020-03-20,38009.31,36890.15,39208.35,2020-03-20,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
51394.1,50279.9,52685.2,2020-03-21,51421.49,50302.775,52704.075,2020-03-21,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
69522.02,68332.1,70833.575,2020-03-22,69564.15,68405.9,70881.575,2020-03-22,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
55914.32,54827.7,57027.4,2020-03-23,55945.5,54859.05,57069.625,2020-03-23,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
134616.16,132327.8,136559.8,2020-03-24,134715.66,132420.875,136699.35,2020-03-24,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
178353.99,176486.675,180246.175,2020-03-25,178509.12,176645.95,180406.525,2020-03-25,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
205864.51,203661.175,208018.75,2020-03-26,206058.07,203856.225,208199.825,2020-03-26,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
221201.21,219138.225,223340,2020-03-27,221415.25,219368.175,223599.2,2020-03-27,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
214752.28,212806.85,216920.025,2020-03-28,214954.58,213009.275,217157.575,2020-03-28,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
263643.94,261861.8,265658.4,2020-03-29,263928.46,262112.425,265972.75,2020-03-29,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
317862.58,315129.4,320021.8,2020-03-30,318275.01,315524.1,320458.9,2020-03-30,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
372509.75,370001.95,374708.35,2020-03-31,373002.9,370453.55,375198.475,2020-03-31,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
392542.11,389943.9,395051.525,2020-04-01,393079.37,390444.725,395708.85,2020-04-01,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
444605.99,441588.225,447341.3,2020-04-02,445284.56,442251.05,448021.325,2020-04-02,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
499650.49,497069.225,502839.55,2020-04-03,500481.31,497922.55,503672.925,2020-04-03,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
585287.3,581937.675,588471.125,2020-04-04,586463.08,583118.15,589716.2,2020-04-04,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
617683.55,614857.375,620590.325,2020-04-05,618972.25,616102.675,621930.05,2020-04-05,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
688933.57,685936.75,692174.9,2020-04-06,690515.43,687464.3,693796.675,2020-04-06,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
685041.23,682817.4,687804.425,2020-04-07,686611.71,684304.425,689471.75,2020-04-07,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
714724.14,711353.525,717784.675,2020-04-08,716496.51,713028.6,719630.05,2020-04-08,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
750791.18,747263.425,754191.725,2020-04-09,752821.74,749231.275,756393.85,2020-04-09,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
794308.13,791307.825,796909.875,2020-04-10,796678.76,793553.525,799227.925,2020-04-10,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
787073.46,784403.675,789552.075,2020-04-11,789397.17,786640.025,791994.8,2020-04-11,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
577367.06,575457.5,579088.9,2020-04-12,578420.46,576514.6,580179.1,2020-04-12,1514477,2375989.64904762,286438.01133669,2089551.63771093,2662427.66038431
