"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-15,1507991,99.57,0.46,2369502,99.73,0.72,2083064,99.69,0.63,2655940,99.76,0.81
2020-03-16,1509264,99.66,0.46,2370776,99.78,0.72,2084338,99.75,0.63,2657214,99.8,0.81
2020-03-17,1510113,99.71,0.46,2371624,99.82,0.72,2085186,99.79,0.63,2658062,99.84,0.81
2020-03-18,1501178,99.12,0.46,2362685,99.44,0.72,2076247,99.36,0.63,2649123,99.5,0.81
2020-03-19,1492516,98.55,0.45,2354019,99.08,0.72,2067581,98.95,0.63,2640457,99.17,0.8
2020-03-20,1476488,97.49,0.45,2337980,98.4,0.71,2051542,98.18,0.62,2624418,98.57,0.8
2020-03-21,1463083,96.61,0.44,2324568,97.84,0.71,2038130,97.54,0.62,2611006,98.07,0.79
2020-03-22,1444955,95.41,0.44,2306425,97.07,0.7,2019987,96.67,0.61,2592864,97.39,0.79
2020-03-23,1458563,96.31,0.44,2320044,97.65,0.71,2033606,97.32,0.62,2606482,97.9,0.79
2020-03-24,1379861,91.11,0.42,2241274,94.33,0.68,1954836,93.55,0.59,2527712,94.94,0.77
2020-03-25,1336123,88.22,0.41,2197481,92.49,0.67,1911043,91.46,0.58,2483919,93.3,0.75
2020-03-26,1308612,86.41,0.4,2169932,91.33,0.66,1883494,90.14,0.57,2456370,92.26,0.75
2020-03-27,1293276,85.39,0.39,2154574,90.68,0.65,1868136,89.4,0.57,2441012,91.68,0.74
2020-03-28,1299725,85.82,0.39,2161035,90.95,0.66,1874597,89.71,0.57,2447473,91.93,0.74
2020-03-29,1250833,82.59,0.38,2112061,88.89,0.64,1825623,87.37,0.55,2398499,90.09,0.73
2020-03-30,1196614,79.01,0.36,2057715,86.6,0.63,1771277,84.77,0.54,2344153,88.05,0.71
2020-03-31,1141967,75.4,0.35,2002987,84.3,0.61,1716549,82.15,0.52,2289425,85.99,0.7
2020-04-01,1121935,74.08,0.34,1982910,83.46,0.6,1696472,81.19,0.52,2269348,85.24,0.69
2020-04-02,1069871,70.64,0.33,1930705,81.26,0.59,1644267,78.69,0.5,2217143,83.28,0.67
2020-04-03,1014827,67.01,0.31,1875508,78.94,0.57,1589070,76.05,0.48,2161946,81.2,0.66
2020-04-04,929190,61.35,0.28,1789527,75.32,0.54,1503089,71.93,0.46,2075965,77.97,0.63
2020-04-05,896793,59.21,0.27,1757017,73.95,0.53,1470579,70.38,0.45,2043455,76.75,0.62
2020-04-06,825543,54.51,0.25,1685474,70.94,0.51,1399036,66.95,0.43,1971912,74.06,0.6
2020-04-07,829436,54.77,0.25,1689378,71.1,0.51,1402940,67.14,0.43,1975816,74.21,0.6
2020-04-08,799753,52.81,0.24,1659493,69.84,0.5,1373055,65.71,0.42,1945931,73.09,0.59
2020-04-09,763686,50.43,0.23,1623168,68.32,0.49,1336730,63.97,0.41,1909606,71.72,0.58
2020-04-10,720169,47.55,0.22,1579311,66.47,0.48,1292873,61.87,0.39,1865749,70.08,0.57
2020-04-11,727404,48.03,0.22,1586592,66.78,0.48,1300154,62.22,0.4,1873030,70.35,0.57
2020-04-12,937110,61.88,0.28,1797569,75.66,0.55,1511131,72.32,0.46,2084007,78.27,0.63
2020-04-13,911243,60.17,0.28,1771567,74.56,0.54,1485129,71.07,0.45,2058005,77.3,0.63
