"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-15,1496367,98.8,0.45,2357713,99.23,0.72,2071275,99.13,0.63,2644151,99.31,0.8
2020-03-16,1509855,99.69,0.46,2371338,99.8,0.72,2084900,99.78,0.63,2657776,99.83,0.81
2020-03-17,1511000,99.77,0.46,2372493,99.85,0.72,2086055,99.83,0.63,2658931,99.87,0.81
2020-03-18,1478521,97.63,0.45,2339597,98.47,0.71,2053159,98.26,0.62,2626035,98.63,0.8
2020-03-19,1441928,95.21,0.44,2302396,96.9,0.7,2015958,96.48,0.61,2588834,97.24,0.79
2020-03-20,1387835,91.64,0.42,2247439,94.59,0.68,1961001,93.85,0.6,2533877,95.17,0.77
2020-03-21,1342648,88.65,0.41,2201345,92.65,0.67,1914907,91.64,0.58,2487783,93.44,0.76
2020-03-22,1283215,84.73,0.39,2140614,90.09,0.65,1854176,88.74,0.56,2427052,91.16,0.74
2020-03-23,1457733,96.25,0.44,2318534,97.58,0.7,2032096,97.25,0.62,2604972,97.84,0.79
2020-03-24,1074992,70.98,0.33,1927607,81.13,0.59,1641169,78.54,0.5,2214045,83.16,0.67
2020-03-25,924636,61.05,0.28,1773456,74.64,0.54,1487018,71.16,0.45,2059894,77.37,0.63
2020-03-26,1177112,77.72,0.36,2032225,85.53,0.62,1745787,83.55,0.53,2318663,87.09,0.7
2020-03-27,1296894,85.63,0.39,2154640,90.68,0.65,1868202,89.41,0.57,2441078,91.69,0.74
2020-03-28,1335675,88.19,0.41,2194360,92.36,0.67,1907922,91.31,0.58,2480798,93.18,0.75
2020-03-29,1295832,85.56,0.39,2153505,90.64,0.65,1867066,89.35,0.57,2439943,91.64,0.74
2020-03-30,1238066,81.75,0.38,2094308,88.14,0.64,1807870,86.52,0.55,2380746,89.42,0.72
2020-03-31,1228148,81.09,0.37,2084154,87.72,0.63,1797716,86.03,0.55,2370592,89.04,0.72
2020-04-01,1210865,79.95,0.37,2066376,86.97,0.63,1779938,85.18,0.54,2352814,88.37,0.71
2020-04-02,1169239,77.2,0.36,2023490,85.16,0.61,1737052,83.13,0.53,2309928,86.76,0.7
2020-04-03,1125897,74.34,0.34,1978933,83.29,0.6,1692495,81,0.51,2265371,85.09,0.69
2020-04-04,1059335,69.95,0.32,1910812,80.42,0.58,1624374,77.74,0.49,2197250,82.53,0.67
2020-04-05,1031718,68.12,0.31,1882325,79.22,0.57,1595887,76.37,0.48,2168763,81.46,0.66
2020-04-06,975079,64.38,0.3,1823847,76.76,0.55,1537409,73.58,0.47,2110285,79.26,0.64
2020-04-07,918133,60.62,0.28,1765022,74.29,0.54,1478584,70.76,0.45,2051460,77.05,0.62
2020-04-08,890823,58.82,0.27,1736955,73.1,0.53,1450517,69.42,0.44,2023393,76,0.61
2020-04-09,869972,57.44,0.26,1715251,72.19,0.52,1428813,68.38,0.43,2001689,75.18,0.61
2020-04-10,829459,54.77,0.25,1673654,70.44,0.51,1387216,66.39,0.42,1960092,73.62,0.6
2020-04-11,822083,54.28,0.25,1665813,70.11,0.51,1379375,66.01,0.42,1952251,73.33,0.59
2020-04-12,872422,57.61,0.27,1723108,72.52,0.52,1436670,68.75,0.44,2009546,75.48,0.61
2020-04-13,845615,55.84,0.26,1695248,71.35,0.52,1408810,67.42,0.43,1981686,74.43,0.6
2020-04-14,799145,52.77,0.24,1646870,69.31,0.5,1360432,65.11,0.41,1933308,72.61,0.59
2020-04-15,762127,50.32,0.23,1608232,67.69,0.49,1321793,63.26,0.4,1894670,71.16,0.58
2020-04-16,741816,48.98,0.23,1586909,66.79,0.48,1300471,62.24,0.4,1873347,70.36,0.57
2020-04-17,750786,49.57,0.23,1600295,67.35,0.49,1313857,62.88,0.4,1886733,70.87,0.57
2020-04-18,718846,47.46,0.22,1567045,65.95,0.48,1280607,61.29,0.39,1853483,69.62,0.56
2020-04-19,643152,42.47,0.2,1475318,62.09,0.45,1188880,56.9,0.36,1761756,66.17,0.54
2020-04-20,609228,40.23,0.19,1439111,60.57,0.44,1152673,55.16,0.35,1725549,64.81,0.52
2020-04-21,583572,38.53,0.18,1411014,59.39,0.43,1124576,53.82,0.34,1697453,63.76,0.52
2020-04-22,581810,38.42,0.18,1408974,59.3,0.43,1122536,53.72,0.34,1695412,63.68,0.52
2020-04-23,564939,37.3,0.17,1390101,58.51,0.42,1103663,52.82,0.34,1676539,62.97,0.51
2020-04-24,506902,33.47,0.15,1333010,56.1,0.41,1046572,50.09,0.32,1619448,60.83,0.49
2020-04-25,478023,31.56,0.15,1300196,54.72,0.4,1013758,48.52,0.31,1586634,59.59,0.48
2020-04-26,456382,30.13,0.14,1275922,53.7,0.39,989484,47.35,0.3,1562360,58.68,0.47
2020-04-27,440032,29.06,0.13,1244233,52.37,0.38,957795,45.84,0.29,1530671,57.49,0.47
2020-04-28,386326,25.51,0.12,1178584,49.6,0.36,892146,42.7,0.27,1465022,55.03,0.45
2020-04-29,365481,24.13,0.11,1152149,48.49,0.35,865711,41.43,0.26,1438587,54.03,0.44
2020-04-30,325351,21.48,0.1,1127958,47.47,0.34,841520,40.27,0.26,1414396,53.12,0.43
2020-05-01,338397,22.34,0.1,1143541,48.13,0.35,857103,41.02,0.26,1429979,53.71,0.43
2020-05-02,291692,19.26,0.09,1091840,45.95,0.33,805402,38.54,0.24,1378278,51.77,0.42
2020-05-03,254614,16.81,0.08,1049798,44.18,0.32,763360,36.53,0.23,1336236,50.19,0.41
2020-05-04,260432,17.2,0.08,1054054,44.36,0.32,767616,36.74,0.23,1340492,50.35,0.41
2020-05-05,226796,14.98,0.07,1015517,42.74,0.31,729079,34.89,0.22,1301955,48.9,0.4
2020-05-06,200288,13.22,0.06,984758,41.45,0.3,698320,33.42,0.21,1271196,47.75,0.39
2020-05-07,229440,15.15,0.07,1034260,43.53,0.31,747822,35.79,0.23,1320698,49.61,0.4
2020-05-08,195396,12.9,0.06,984432,41.43,0.3,697994,33.4,0.21,1270870,47.73,0.39
2020-05-09,205508,13.57,0.06,1005764,42.33,0.31,719326,34.42,0.22,1292202,48.53,0.39
2020-05-10,173345,11.45,0.05,964547,40.6,0.29,678109,32.45,0.21,1250985,46.99,0.38
2020-05-11,207286,13.69,0.06,1011798,42.58,0.31,725360,34.71,0.22,1298236,48.76,0.39
2020-05-12,182396,12.04,0.06,978124,41.17,0.3,691686,33.1,0.21,1264562,47.5,0.38
2020-05-13,154567,10.21,0.05,939210,39.53,0.29,652772,31.24,0.2,1225648,46.03,0.37
2020-05-14,134710,8.89,0.04,911250,38.35,0.28,624812,29.9,0.19,1197688,44.98,0.36
2020-05-15,126992,8.39,0.04,901091,37.92,0.27,614653,29.42,0.19,1187529,44.6,0.36
2020-05-16,113206,7.47,0.03,880723,37.07,0.27,594285,28.44,0.18,1167161,43.84,0.35
2020-05-17,100493,6.64,0.03,861106,36.24,0.26,574668,27.5,0.17,1147544,43.1,0.35
2020-05-18,68787,4.54,0.02,784541,33.02,0.24,498103,23.84,0.15,1070979,40.23,0.33
2020-05-19,49822,3.29,0.02,759053,31.95,0.23,472615,22.62,0.14,1045491,39.27,0.32
2020-05-20,24746,1.63,0.01,708017,29.8,0.22,421579,20.18,0.13,994455,37.35,0.3
2020-05-21,11538,0.76,0,711736,29.96,0.22,425298,20.35,0.13,998174,37.49,0.3
2020-05-22,18455,1.22,0.01,710123,29.89,0.22,423685,20.28,0.13,996561,37.43,0.3
2020-05-23,6258,0.41,0,685307,28.84,0.21,398869,19.09,0.12,971745,36.5,0.3
