"date","C_de_mean","C_de_q.025","C_de_q.975","C_de_real","C_de-cn_mean","C_de-cn_q.025","C_de-cn_q.975","C_de-kr_mean","C_de-kr_q.025","C_de-kr_q.975"
"2020-02-05",12,12,12,12,12,12,12,12,12,12
"2020-02-06",12,12,12,12,12,12,12,12,12,12
"2020-02-07",13,13,13,13,13,13,13,13,13,13
"2020-02-08",14,14,14,14,14,14,14,14,14,14
"2020-02-09",14,14,14,14,14,14,14,14,14,14
"2020-02-10",14,14,14,14,14,14,14,14,14,14
"2020-02-11",14,14,14,14,14,14,14,14,14,14
"2020-02-12",16,16,16,16,16,16,16,16,16,16
"2020-02-13",16,16,16,16,16,16,16,16,16,16
"2020-02-14",16,16,16,16,16,16,16,16,16,16
"2020-02-15",16,16,16,16,16,16,16,16,16,16
"2020-02-16",16,16,16,16,16,16,16,16,16,16
"2020-02-17",16,16,16,16,16,16,16,16,16,16
"2020-02-18",16,16,16,16,16,16,16,16,16,16
"2020-02-19",16,16,16,16,16,16,16,16,16,16
"2020-02-20",16,16,16,16,16,16,16,16,16,16
"2020-02-21",16,16,16,16,16,16,16,16,16,16
"2020-02-22",16,16,16,16,16,16,16,16,16,16
"2020-02-23",16,16,16,16,16,16,16,16,16,16
"2020-02-24",16,16,16,16,16,16,16,16,16,16
"2020-02-25",16,16,16,16,16,16,16,16,16,16
"2020-02-26",18,18,18,18,18,18,18,18,18,18
"2020-02-27",21,21,21,21,21,21,21,21,21,21
"2020-02-28",26,26,26,26,26,26,26,26,26,26
"2020-02-29",57,57,57,57,57,57,57,57,57,57
"2020-03-01",57,57,57,57,57,57,57,57,57,57
"2020-03-02",129,129,129,129,129,129,129,129,129,129
"2020-03-03",157,157,157,157,157,157,157,157,157,157
"2020-03-04",196,196,196,196,196,196,196,196,196,196
"2020-03-05",262,262,262,262,262,262,262,262,262,262
"2020-03-06",534,534,534,534,534,534,534,534,534,534
"2020-03-07",639,639,639,639,639,639,639,639,639,639
"2020-03-08",795,795,795,795,795,795,795,795,795,795
"2020-03-09",1112,1112,1112,1112,1112,1112,1112,1112,1112,1112
"2020-03-10",1139,1139,1139,1139,1139,1139,1139,1139,1139,1139
"2020-03-11",1296,1296,1296,1296,1296,1296,1296,1296,1296,1296
"2020-03-12",1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
"2020-03-13",2369,2369,2369,2369,2369,2369,2369,2369,2369,2369
"2020-03-14",3062,3062,3062,3062,3062,3062,3062,3062,3062,3062
"2020-03-15",3795,3795,3795,3795,3795,3795,3795,3795,3795,3795
"2020-03-16",4838,4838,4838,4838,4838,4838,4838,4838,4838,4838
"2020-03-17",6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
"2020-03-18",7156,7156,7156,7156,7156,7156,7156,7156,7156,7156
"2020-03-19",8198,8198,8198,8198,8198,8198,8198,8198,8198,8198
"2020-03-20",10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"2020-03-21",18323,18323,18323,18323,18323,18323,18323,18323,18323,18323
"2020-03-22",21733,21733,21733,21733,21733,21733,21733,21733,21733,21733
"2020-03-23",25044,25044,25044,25044,25044,25044,25044,25044,25044,25044
"2020-03-24",29482,29482,29482,29482,29482,29482,29482,29482,29482,29482
"2020-03-25",31824,31824,31824,31824,31824,31824,31824,31824,31824,31824
"2020-03-26",36778,36778,36778,36778,36778,36778,36778,36778,36778,36778
"2020-03-27",42558,42558,42558,42558,42558,42558,42558,42558,42558,42558
"2020-03-28",48852,48852,48852,48852,48852,48852,48852,48852,48852,48852
"2020-03-29",52817,52817,52817,52817,52817,52817,52817,52817,52817,52817
"2020-03-30",57568,57568,57568,57568,57568,57568,57568,57568,57568,57568
"2020-03-31",62183,62183,62183,62183,62183,62183,62183,62183,62183,62183
"2020-04-01",67636,67636,67636,67636,67636,67636,67636,67636,67636,67636
"2020-04-02",73964.74,73829.75,74158.275,73792,71669.63,71563.375,71786.625,72349.27,72195.475,72502.325
"2020-04-03",80349.44,80146.75,80582.175,79966,76627.55,76460.8,76815.225,76938.05,76693.7,77162.525
"2020-04-04",86877.09,86573.725,87210.775,86048,84145.76,83912.7,84439.2,80423.33,80165.625,80663.3
"2020-04-05",93508.68,93104.65,93937.125,91984,89576.39,89239.35,89973.175,82786.68,82491.6,83078.625
"2020-04-06",100141.87,99622.1,100767.025,95661,93489.74,93146.8,93978.825,84046.75,83719.4,84343.575
"2020-04-07",106739.57,106142.9,107378.725,99495,97561.34,97137.4,98082.575,86348.88,85991.325,86692.525
"2020-04-08",113229.29,112486.6,114018.725,103498,100912.63,100457.575,101512.4,87441.04,87066.475,87783.2
"2020-04-09",119514.37,118585.475,120484.975,NA,104621.53,104024.7,105268.45,88494.18,88120.075,88866.875
"2020-04-10",125568.17,124479.75,126611.275,NA,106703.93,106094.475,107340.75,89527.95,89131.425,89907.575
"2020-04-11",131327.18,130214.225,132469.325,NA,108937.56,108280.525,109670,90261.03,89851.85,90691.5
"2020-04-12",136761.62,135502.225,138009.9,NA,110915.58,110189.275,111680.325,90980.01,90554.15,91422.725
"2020-04-13",141837.65,140457.375,143174.625,NA,112669.52,111900.05,113476.225,91793.3,91363.225,92246.6
