"C_de-cn_T_mean","C_de-cn_T_q.025","C_de-cn_T_q.975","date_T","C_de-cn_E_mean","C_de-cn_E_q.025","C_de-cn_E_q.975","date_E","C_de_T","C_de_E_mean","C_de_E_std","C_de_E_lb","C_de_E_ub"
4138.16,3911.075,4439.575,2020-03-10,4253.77,4000.75,4594.2,2020-03-10,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
3515.02,3258.35,3773.25,2020-03-11,3613.65,3342.925,3874.3,2020-03-11,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
3713.61,3425.975,3985.35,2020-03-12,3815.56,3517.875,4127.575,2020-03-12,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
4422.22,4164.925,4694.275,2020-03-13,4562.62,4263.725,4863.4,2020-03-13,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
7683.52,7320,8032.875,2020-03-14,7996.95,7614.9,8390.3,2020-03-14,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
10047.7,9628.975,10536.625,2020-03-15,10526.15,10034.175,11064.15,2020-03-15,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
12105.83,11649.8,12553.675,2020-03-16,12753.95,12197.1,13281.55,2020-03-16,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
15268.08,14769.475,15744.8,2020-03-17,16201.22,15571.35,16713,2020-03-17,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
18572.14,18048.275,19111.725,2020-03-18,19832.45,19206.45,20456.775,2020-03-18,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
21115.65,20486.775,21600.225,2020-03-19,22707.67,21949.5,23273.425,2020-03-19,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
22875.03,22190.1,23424.125,2020-03-20,24770.91,23884.35,25450.8,2020-03-20,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
32043.57,31408.575,32838.925,2020-03-21,35154.9,34376.575,36010.85,2020-03-21,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
62860.39,61939.2,63856.925,2020-03-22,70977.36,69790.95,72218.1,2020-03-22,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
71930.48,70827.8,73070.175,2020-03-23,82339.84,80905.05,83922.775,2020-03-23,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
71436.67,70352.175,72325.5,2020-03-24,81754.32,80479.5,83027.925,2020-03-24,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
78856.13,77584.35,79917.6,2020-03-25,91507.87,89642.275,93093.2,2020-03-25,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
78229.01,77194.65,79132.95,2020-03-26,90790.29,89386,92143.7,2020-03-26,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
85976.6,85111.05,86945.025,2020-03-27,101557.85,100312.3,102776.25,2020-03-27,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
96644.89,95590.45,97641.775,2020-03-28,116802,115217.2,118514.875,2020-03-28,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
95658.55,95003.375,96521.65,2020-03-29,113832.39,112707.15,115135.75,2020-03-29,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
97020.4,96206.35,97778.4,2020-03-30,117094.89,115781.775,118422.1,2020-03-30,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
95261.49,94488.175,95932.075,2020-03-31,114678.07,113470.85,115691.925,2020-03-31,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
97845.68,97084.25,98404.475,2020-04-01,119292.09,117808.9,120340.475,2020-04-01,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
100911.45,100328.6,101538.875,2020-04-02,126897.22,125866.325,127930.475,2020-04-02,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
105667.14,105299.375,106227.5,2020-04-03,137033.49,135972.775,138229.9,2020-04-03,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
108898.87,108371.5,109321.625,2020-04-04,146357.02,145146.025,147458.175,2020-04-04,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
101512.16,101230.225,101838.525,2020-04-05,124494.47,123657.475,125444.325,2020-04-05,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
103869.35,103649.2,104034.675,2020-04-06,131091.45,130446.425,131973.9,2020-04-06,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
103624.18,103453.425,103816.575,2020-04-07,131804.23,131042.95,132464.85,2020-04-07,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
103430.57,103319.325,103593.75,2020-04-08,131448.21,130644.725,132229.15,2020-04-08,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
