"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-10,99360,96,0.12,159521,97.4,0.19,152500,97.29,0.18,166542,97.51,0.2
2020-03-11,99983,96.6,0.12,160161,97.79,0.19,153140,97.69,0.18,167183,97.88,0.2
2020-03-12,99784,96.41,0.12,159959,97.67,0.19,152938,97.57,0.18,166981,97.77,0.2
2020-03-13,99076,95.73,0.12,159212,97.21,0.19,152191,97.09,0.18,166234,97.33,0.2
2020-03-14,95814,92.58,0.11,155778,95.12,0.19,148757,94.9,0.18,162799,95.32,0.19
2020-03-15,93450,90.29,0.11,153249,93.57,0.18,146227,93.28,0.17,160270,93.84,0.19
2020-03-16,91392,88.3,0.11,151021,92.21,0.18,144000,91.86,0.17,158042,92.53,0.19
2020-03-17,88230,85.25,0.11,147574,90.11,0.18,140552,89.66,0.17,154595,90.51,0.18
2020-03-18,84926,82.06,0.1,143942,87.89,0.17,136921,87.35,0.16,150964,88.39,0.18
2020-03-19,82382,79.6,0.1,141067,86.13,0.17,134046,85.51,0.16,148089,86.7,0.18
2020-03-20,80623,77.9,0.1,139004,84.88,0.17,131983,84.2,0.16,146025,85.5,0.17
2020-03-21,71454,69.04,0.09,128620,78.53,0.15,121599,77.57,0.15,135641,79.42,0.16
2020-03-22,40638,39.26,0.05,92797,56.66,0.11,85776,54.72,0.1,99819,58.44,0.12
2020-03-23,31568,30.5,0.04,81435,49.72,0.1,74414,47.47,0.09,88456,51.79,0.11
2020-03-24,32061,30.98,0.04,82021,50.08,0.1,74999,47.85,0.09,89042,52.13,0.11
2020-03-25,24642,23.81,0.03,72267,44.13,0.09,65246,41.62,0.08,79288,46.42,0.09
2020-03-26,25269,24.41,0.03,72985,44.56,0.09,65963,42.08,0.08,80006,46.84,0.1
2020-03-27,17521,16.93,0.02,62217,37.99,0.07,55196,35.21,0.07,69238,40.54,0.08
2020-03-28,6853,6.62,0.01,46973,28.68,0.06,39952,25.49,0.05,53994,31.61,0.06
2020-03-29,7839,7.57,0.01,49942,30.49,0.06,42921,27.38,0.05,56964,33.35,0.07
2020-03-30,6478,6.26,0.01,46680,28.5,0.06,39659,25.3,0.05,53701,31.44,0.06
2020-03-31,8237,7.96,0.01,49097,29.98,0.06,42075,26.84,0.05,56118,32.86,0.07
2020-04-01,5652,5.46,0.01,44483,27.16,0.05,37461,23.9,0.04,51504,30.16,0.06
2020-04-02,2587,2.5,0,36878,22.52,0.04,29856,19.05,0.04,43899,25.7,0.05
2020-04-03,-2169,-2.1,0,26741,16.33,0.03,19720,12.58,0.02,33763,19.77,0.04
2020-04-04,-5401,-5.22,-0.01,17418,10.64,0.02,10396,6.63,0.01,24439,14.31,0.03
2020-04-05,1986,1.92,0,39280,23.98,0.05,32259,20.58,0.04,46302,27.11,0.06
2020-04-06,-371,-0.36,0,32683,19.96,0.04,25662,16.37,0.03,39705,23.25,0.05
2020-04-07,-126,-0.12,0,31971,19.52,0.04,24949,15.92,0.03,38992,22.83,0.05
2020-04-08,67,0.07,0,32327,19.74,0.04,25305,16.14,0.03,39348,23.04,0.05
