"C_de-kr_T_mean","C_de-kr_T_q.025","C_de-kr_T_q.975","date_T","C_de-kr_E_mean","C_de-kr_E_q.025","C_de-kr_E_q.975","date_E","C_de_T","C_de_E_mean","C_de_E_std","C_de_E_lb","C_de_E_ub"
6047.55,5586.5,6441.15,2020-03-10,7054.39,6455.325,7640.125,2020-03-10,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
2855.37,2680.175,3089.55,2020-03-11,3277.49,2969.425,3652.5,2020-03-11,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
2854.83,2641.9,3129.825,2020-03-12,3254.34,2876.525,3616.025,2020-03-12,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
3392.97,3191.925,3657.025,2020-03-13,3898.24,3508.65,4364.675,2020-03-13,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
5880.03,5666.2,6120.775,2020-03-14,6983.22,6513.6,7536.725,2020-03-14,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
8671.61,8262.725,9118.125,2020-03-15,10494.32,9816.775,11402.65,2020-03-15,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
10470.79,10091.375,10898.1,2020-03-16,12764.16,11926.75,13644.1,2020-03-16,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
13178.98,12757.625,13585.725,2020-03-17,16239.81,15474.775,16999.25,2020-03-17,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
16070.5,15633.6,16550.225,2020-03-18,19839.14,18994.375,20755.375,2020-03-18,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
18471.46,18027.175,18928.1,2020-03-19,23003.78,22176.75,23958.45,2020-03-19,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
17767.51,17371.175,18123.525,2020-03-20,22034.88,21147.75,22724.05,2020-03-20,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
24441.04,24049.125,24811.625,2020-03-21,31156.57,30298.05,32159.35,2020-03-21,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
143573.29,140892.7,145539.9,2020-03-22,199294.03,194847.575,202903.125,2020-03-22,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
100533.92,99414.375,101854.925,2020-03-23,137923,135725.65,140181.625,2020-03-23,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
61688.08,61037,62504.9,2020-03-24,82700.52,81271.175,84752.175,2020-03-24,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
60947.4,60240.375,61641.625,2020-03-25,81774.68,80007.25,83475.55,2020-03-25,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
53959.6,53542.725,54407.725,2020-03-26,71918.41,70604.7,73455.575,2020-03-26,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
60344.75,59863.325,60804.325,2020-03-27,80889.41,79488,82550.225,2020-03-27,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
68913.57,68432.75,69400.25,2020-03-28,93122.03,91667.525,95030.55,2020-03-28,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
74013.15,73530.65,74584.525,2020-03-29,101388.1,99703.575,103425.85,2020-03-29,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
74660.96,74280.2,75073.35,2020-03-30,102617.6,100725.8,103960.55,2020-03-30,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
78689.85,78393.925,78998.775,2020-03-31,107399.76,105769.95,109055.7,2020-03-31,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
78721.05,78403.15,79034.2,2020-04-01,107278.49,105429.75,108755.35,2020-04-01,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
87442.57,87116.175,87784.9,2020-04-02,119206.69,117506.85,120861.725,2020-04-02,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
89686.87,89393.9,89983.1,2020-04-03,123495.19,121852.65,125068.275,2020-04-03,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
95551.42,95291.325,95806.625,2020-04-04,132607.97,130737.225,134446.425,2020-04-04,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
99528.43,99304.275,99816.05,2020-04-05,140362.27,138927.325,142053.575,2020-04-05,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
104271.26,104023.25,104496.2,2020-04-06,147371.11,145563.4,149230.475,2020-04-06,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
104713.17,104512,104907.425,2020-04-07,146944.97,145194.575,148416.025,2020-04-07,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
103221.46,103114.95,103317.3,2020-04-08,142938.3,141302.875,144768.65,2020-04-08,103498,163774.854,7021.33574407352,156753.518255926,170796.189744074
