"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-10,97450,94.16,0.12,156720,95.69,0.19,149699,95.5,0.18,163742,95.87,0.2
2020-03-11,100643,97.24,0.12,160497,98,0.19,153476,97.91,0.18,167519,98.08,0.2
2020-03-12,100643,97.24,0.12,160521,98.01,0.19,153499,97.92,0.18,167542,98.09,0.2
2020-03-13,100105,96.72,0.12,159877,97.62,0.19,152855,97.51,0.18,166898,97.72,0.2
2020-03-14,97618,94.32,0.12,156792,95.74,0.19,149770,95.55,0.18,163813,95.91,0.2
2020-03-15,94826,91.62,0.11,153281,93.59,0.18,146259,93.31,0.17,160302,93.86,0.19
2020-03-16,93027,89.88,0.11,151011,92.21,0.18,143989,91.86,0.17,158032,92.53,0.19
2020-03-17,90319,87.27,0.11,147535,90.08,0.18,140514,89.64,0.17,154556,90.49,0.18
2020-03-18,87428,84.47,0.1,143936,87.89,0.17,136914,87.34,0.16,150957,88.38,0.18
2020-03-19,85027,82.15,0.1,140771,85.95,0.17,133750,85.32,0.16,147792,86.53,0.18
2020-03-20,85730,82.83,0.1,141740,86.55,0.17,134719,85.94,0.16,148761,87.1,0.18
2020-03-21,79057,76.39,0.09,132618,80.98,0.16,125597,80.12,0.15,139640,81.76,0.17
2020-03-22,-40075,-38.72,-0.05,-35519,-21.69,-0.04,-42541,-27.14,-0.05,-28498,-16.69,-0.03
2020-03-23,2964,2.86,0,25852,15.78,0.03,18831,12.01,0.02,32873,19.25,0.04
2020-03-24,41810,40.4,0.05,81074,49.5,0.1,74053,47.24,0.09,88096,51.58,0.11
2020-03-25,42551,41.11,0.05,82000,50.07,0.1,74979,47.83,0.09,89022,52.12,0.11
2020-03-26,49538,47.86,0.06,91856,56.09,0.11,84835,54.12,0.1,98878,57.89,0.12
2020-03-27,43153,41.69,0.05,82885,50.61,0.1,75864,48.4,0.09,89907,52.64,0.11
2020-03-28,34584,33.42,0.04,70653,43.14,0.08,63631,40.59,0.08,77674,45.48,0.09
2020-03-29,29485,28.49,0.04,62387,38.09,0.07,55365,35.32,0.07,69408,40.64,0.08
2020-03-30,28837,27.86,0.03,61157,37.34,0.07,54136,34.54,0.06,68179,39.92,0.08
2020-03-31,24808,23.97,0.03,56375,34.42,0.07,49354,31.48,0.06,63396,37.12,0.08
2020-04-01,24777,23.94,0.03,56496,34.5,0.07,49475,31.56,0.06,63518,37.19,0.08
2020-04-02,16055,15.51,0.02,44568,27.21,0.05,37547,23.95,0.04,51589,30.21,0.06
2020-04-03,13811,13.34,0.02,40280,24.59,0.05,33258,21.22,0.04,47301,27.69,0.06
2020-04-04,7947,7.68,0.01,31167,19.03,0.04,24146,15.4,0.03,38188,22.36,0.05
2020-04-05,3970,3.84,0,23413,14.3,0.03,16391,10.46,0.02,30434,17.82,0.04
2020-04-06,-773,-0.75,0,16404,10.02,0.02,9382,5.99,0.01,23425,13.72,0.03
2020-04-07,-1215,-1.17,0,16830,10.28,0.02,9809,6.26,0.01,23851,13.96,0.03
2020-04-08,277,0.27,0,20837,12.72,0.02,13815,8.81,0.02,27858,16.31,0.03
