"date","C_it_mean","C_it_q.025","C_it_q.975","C_it_real","C_it-cn_mean","C_it-cn_q.025","C_it-cn_q.975","C_it-kr_mean","C_it-kr_q.025","C_it-kr_q.975"
"2020-01-31",2,2,2,2,2,2,2,2,2,2
"2020-02-01",2,2,2,2,2,2,2,2,2,2
"2020-02-02",2,2,2,2,2,2,2,2,2,2
"2020-02-03",2,2,2,2,2,2,2,2,2,2
"2020-02-04",2,2,2,2,2,2,2,2,2,2
"2020-02-05",2,2,2,2,2,2,2,2,2,2
"2020-02-06",2,2,2,2,2,2,2,2,2,2
"2020-02-07",3,3,3,3,3,3,3,3,3,3
"2020-02-08",3,3,3,3,3,3,3,3,3,3
"2020-02-09",3,3,3,3,3,3,3,3,3,3
"2020-02-10",3,3,3,3,3,3,3,3,3,3
"2020-02-11",3,3,3,3,3,3,3,3,3,3
"2020-02-12",3,3,3,3,3,3,3,3,3,3
"2020-02-13",3,3,3,3,3,3,3,3,3,3
"2020-02-14",3,3,3,3,3,3,3,3,3,3
"2020-02-15",3,3,3,3,3,3,3,3,3,3
"2020-02-16",3,3,3,3,3,3,3,3,3,3
"2020-02-17",3,3,3,3,3,3,3,3,3,3
"2020-02-18",3,3,3,3,3,3,3,3,3,3
"2020-02-19",3,3,3,3,3,3,3,3,3,3
"2020-02-20",3,3,3,3,3,3,3,3,3,3
"2020-02-21",3,3,3,3,3,3,3,3,3,3
"2020-02-22",9,9,9,9,9,9,9,9,9,9
"2020-02-23",76,76,76,76,76,76,76,76,76,76
"2020-02-24",124,124,124,124,124,124,124,124,124,124
"2020-02-25",229,229,229,229,229,229,229,229,229,229
"2020-02-26",322,322,322,322,322,322,322,322,322,322
"2020-02-27",400,400,400,400,400,400,400,400,400,400
"2020-02-28",650,650,650,650,650,650,650,650,650,650
"2020-02-29",888,888,888,888,888,888,888,888,888,888
"2020-03-01",1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
"2020-03-02",1689,1689,1689,1689,1689,1689,1689,1689,1689,1689
"2020-03-03",2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
"2020-03-04",2502,2502,2502,2502,2502,2502,2502,2502,2502,2502
"2020-03-05",3089,3089,3089,3089,3089,3089,3089,3089,3089,3089
"2020-03-06",3858,3858,3858,3858,3858,3858,3858,3858,3858,3858
"2020-03-07",4636,4636,4636,4636,4636,4636,4636,4636,4636,4636
"2020-03-08",5883,5883,5883,5883,5883,5883,5883,5883,5883,5883
"2020-03-09",7375,7375,7375,7375,7375,7375,7375,7375,7375,7375
"2020-03-10",9172,9172,9172,9172,9172,9172,9172,9172,9172,9172
