"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-10,112470,82.9,0.19,160167,87.07,0.26,141267,85.59,0.23,179067,88.28,0.3
2020-03-11,106940,78.82,0.18,154394,83.93,0.26,135494,82.1,0.22,173294,85.43,0.29
2020-03-12,106137,78.23,0.18,153507,83.45,0.25,134607,81.56,0.22,172407,84.99,0.29
2020-03-13,99581,73.4,0.16,146598,79.7,0.24,127698,77.37,0.21,165498,81.59,0.27
2020-03-14,91778,67.64,0.15,138311,75.19,0.23,119411,72.35,0.2,157211,77.5,0.26
2020-03-15,85615,63.1,0.14,131682,71.59,0.22,112782,68.33,0.19,150582,74.23,0.25
2020-03-16,76158,56.13,0.13,121480,66.04,0.2,102580,62.15,0.17,140380,69.21,0.23
2020-03-17,67028,49.4,0.11,111747,60.75,0.18,92847,56.26,0.15,130648,64.41,0.22
2020-03-18,61077,45.02,0.1,105038,57.1,0.17,86138,52.19,0.14,123938,61.1,0.2
2020-03-19,55191,40.68,0.09,98335,53.46,0.16,79435,48.13,0.13,117235,57.8,0.19
2020-03-20,50604,37.3,0.08,93339,50.74,0.15,74439,45.1,0.12,112239,55.33,0.19
2020-03-21,39099,28.82,0.06,80279,43.64,0.13,61378,37.19,0.1,99179,48.89,0.16
2020-03-22,25959,19.13,0.04,65128,35.41,0.11,46228,28.01,0.08,84028,41.42,0.14
2020-03-23,12400,9.14,0.02,49040,26.66,0.08,30140,18.26,0.05,67940,33.49,0.11
2020-03-24,16067,11.84,0.03,53205,28.92,0.09,34305,20.79,0.06,72105,35.55,0.12
2020-03-25,12822,9.45,0.02,48684,26.47,0.08,29784,18.05,0.05,67584,33.32,0.11
2020-03-26,8918,6.57,0.01,43164,23.47,0.07,24264,14.7,0.04,62064,30.6,0.1
2020-03-27,11206,8.26,0.02,45863,24.93,0.08,26963,16.34,0.04,64763,31.93,0.11
2020-03-28,4640,3.42,0.01,36937,20.08,0.06,18037,10.93,0.03,55837,27.53,0.09
2020-03-29,21284,15.69,0.04,59318,32.25,0.1,40418,24.49,0.07,78218,38.56,0.13
2020-03-30,16009,11.8,0.03,52572,28.58,0.09,33672,20.4,0.06,71472,35.23,0.12
2020-03-31,13845,10.2,0.02,49843,27.1,0.08,30943,18.75,0.05,68743,33.89,0.11
2020-04-01,12660,9.33,0.02,48007,26.1,0.08,29107,17.64,0.05,66907,32.98,0.11
2020-04-02,12870,9.49,0.02,48334,26.28,0.08,29434,17.83,0.05,67234,33.15,0.11
2020-04-03,9964,7.34,0.02,43967,23.9,0.07,25067,15.19,0.04,62867,30.99,0.1
2020-04-04,7244,5.34,0.01,39667,21.56,0.07,20767,12.58,0.03,58567,28.87,0.1
2020-04-05,5347,3.94,0.01,36684,19.94,0.06,17784,10.78,0.03,55584,27.4,0.09
2020-04-06,4008,2.95,0.01,34271,18.63,0.06,15371,9.31,0.03,53171,26.21,0.09
2020-04-07,1971,1.45,0,30521,16.59,0.05,11621,7.04,0.02,49421,24.36,0.08
2020-04-08,-557,-0.41,0,25855,14.06,0.04,6955,4.21,0.01,44755,22.06,0.07
