"C_it-kr_T_mean","C_it-kr_T_q.025","C_it-kr_T_q.975","date_T","C_it-kr_E_mean","C_it-kr_E_q.025","C_it-kr_E_q.975","date_E","C_it_T","C_it_E_mean","C_it_E_std","C_it_E_lb","C_it_E_ub"
18752.78,18192.5,19406.25,2020-03-10,21167.42,20316.25,22129.55,2020-03-10,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
22932.27,22372.675,23648.775,2020-03-11,26220.79,25300.725,27394.95,2020-03-11,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
22853.59,22379.15,23383.675,2020-03-12,26141.78,25253.875,26951.575,2020-03-12,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
27593.13,27081.325,28124.7,2020-03-13,31782.6,30893.3,32748.35,2020-03-13,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
34664.57,33971.475,35329.275,2020-03-14,40725.49,39449.65,41953,2020-03-14,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
37814.88,37285.125,38373.625,2020-03-15,44694,43638.925,45828.875,2020-03-15,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
44625.44,43988.15,45277.525,2020-03-16,53200.76,52058.225,54454,2020-03-16,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
51140.7,50537.8,51833.075,2020-03-17,61534.82,60340.825,63006.125,2020-03-17,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
51918.46,51289.85,52574.6,2020-03-18,62614.25,61314.2,64157.55,2020-03-18,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
56412.33,55868.95,56957.7,2020-03-19,68363.46,67097.6,69419.675,2020-03-19,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
59602.24,59080.25,60079.1,2020-03-20,72591.4,71307.175,73817.925,2020-03-20,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
67927.54,67263.1,68522.35,2020-03-21,83646.21,82223,85211.775,2020-03-21,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
77229.92,76619.025,77743.825,2020-03-22,95835.25,94440.8,97374.65,2020-03-22,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
86863.62,86168.5,87529.525,2020-03-23,108739.73,107153.525,110595.625,2020-03-23,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
92800.03,92165.65,93392.525,2020-03-24,117134.09,115424.925,118759.975,2020-03-24,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
95020.81,94452.75,95612.525,2020-03-25,121360.36,119468.575,123284.2,2020-03-25,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
97074.03,96619.025,97600.575,2020-03-26,124679.47,122895.175,126429.05,2020-03-26,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
101358.42,100829.5,101775.75,2020-03-27,129988.69,128343.7,132091.35,2020-03-27,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
103209.38,102768.9,103598.5,2020-03-28,133331.91,131688.825,135162.175,2020-03-28,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
108878.46,108493.05,109244.35,2020-03-29,140481.39,138528.725,142595.525,2020-03-29,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
114380.33,113988.65,114781.575,2020-03-30,147565.12,145837.325,149239.725,2020-03-30,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
114244.56,113870.475,114565.425,2020-03-31,147346.89,145474.925,149304.075,2020-03-31,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
129360.84,128854.925,129846.575,2020-04-01,159251.5,157874.925,160743.625,2020-04-01,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
127122.03,126787.875,127398.3,2020-04-02,155147.71,153856.8,156248.475,2020-04-02,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
129226.5,128875.125,129523.675,2020-04-03,159161.23,157623.325,160722.15,2020-04-03,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
131278.87,130986.025,131597.8,2020-04-04,163228.36,161778.5,164853.525,2020-04-04,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
131280.99,131041.3,131476.875,2020-04-05,163210.51,162123.5,164420.55,2020-04-05,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
132326.51,132140.95,132510.625,2020-04-06,165777.78,164420.65,167057.35,2020-04-06,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
133798.74,133687.225,133895.15,2020-04-07,169180.16,167906.575,170305.525,2020-04-07,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
134924.26,134839.95,135013.35,2020-04-08,170475.26,169070.975,171727.275,2020-04-08,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
