"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-15,184650,80.72,0.31,191694,81.21,0.32,191478,81.2,0.32,191910,81.23,0.32
2020-03-16,176202,77.03,0.29,183177,77.6,0.3,182961,77.58,0.3,183393,77.63,0.3
2020-03-17,167933,73.41,0.28,174846,74.08,0.29,174630,74.05,0.29,175062,74.1,0.29
2020-03-18,167009,73.01,0.28,173908,73.68,0.29,173692,73.65,0.29,174125,73.7,0.29
2020-03-19,161289,70.51,0.27,168122,71.23,0.28,167906,71.2,0.28,168338,71.25,0.28
2020-03-20,157017,68.64,0.26,163805,69.4,0.27,163589,69.37,0.27,164021,69.43,0.27
2020-03-21,146352,63.98,0.24,153022,64.83,0.25,152806,64.8,0.25,153238,64.86,0.25
2020-03-22,134344,58.73,0.22,140857,59.68,0.23,140640,59.64,0.23,141073,59.71,0.23
2020-03-23,121766,53.23,0.2,128149,54.29,0.21,127933,54.25,0.21,128365,54.33,0.21
2020-03-24,113485,49.61,0.19,119753,50.73,0.2,119537,50.69,0.2,119969,50.78,0.2
2020-03-25,109133,47.71,0.18,115284,48.84,0.19,115068,48.79,0.19,115501,48.89,0.19
2020-03-26,105954,46.32,0.18,112078,47.48,0.19,111862,47.43,0.19,112294,47.53,0.19
2020-03-27,100797,44.06,0.17,106709,45.21,0.18,106493,45.16,0.18,106926,45.26,0.18
2020-03-28,97932,42.81,0.16,103800,43.98,0.17,103584,43.92,0.17,104016,44.03,0.17
2020-03-29,90629,39.62,0.15,96336,40.81,0.16,96120,40.76,0.16,96552,40.87,0.16
2020-03-30,83804,36.64,0.14,89380,37.87,0.15,89164,37.81,0.15,89597,37.92,0.15
2020-03-31,83891,36.67,0.14,89429,37.89,0.15,89213,37.83,0.15,89645,37.94,0.15
2020-04-01,74298,32.48,0.12,80540,34.12,0.13,80324,34.06,0.13,80757,34.18,0.13
2020-04-02,78423,34.28,0.13,84680,35.88,0.14,84464,35.82,0.14,84896,35.93,0.14
2020-04-03,74281,32.47,0.12,80499,34.1,0.13,80283,34.04,0.13,80715,34.16,0.13
2020-04-04,76900,33.62,0.13,83421,35.34,0.14,83205,35.28,0.14,83637,35.4,0.14
2020-04-05,72668,31.77,0.12,79114,33.52,0.13,78898,33.46,0.13,79330,33.58,0.13
2020-04-06,67897,29.68,0.11,74274,31.47,0.12,74058,31.4,0.12,74490,31.53,0.12
2020-04-07,64455,28.18,0.11,70766,29.98,0.12,70550,29.92,0.12,70983,30.04,0.12
2020-04-08,62798,27.45,0.1,69103,29.28,0.11,68887,29.21,0.11,69319,29.34,0.11
2020-04-09,62522,27.33,0.1,68827,29.16,0.11,68611,29.09,0.11,69043,29.22,0.11
2020-04-10,59426,25.98,0.1,65690,27.83,0.11,65474,27.76,0.11,65906,27.9,0.11
2020-04-11,54924,24.01,0.09,61073,25.87,0.1,60856,25.81,0.1,61289,25.94,0.1
2020-04-12,51107,22.34,0.08,57171,24.22,0.09,56955,24.15,0.09,57387,24.29,0.09
2020-04-13,45284,19.8,0.07,51186,21.69,0.08,50970,21.61,0.08,51403,21.76,0.09
2020-04-14,41371,18.09,0.07,47162,19.98,0.08,46946,19.91,0.08,47378,20.05,0.08
2020-04-15,40163,17.56,0.07,45933,19.46,0.08,45717,19.39,0.08,46149,19.53,0.08
2020-04-16,35071,15.33,0.06,40688,17.24,0.07,40472,17.16,0.07,40904,17.31,0.07
2020-04-17,38525,16.84,0.06,44282,18.76,0.07,44066,18.69,0.07,44498,18.83,0.07
2020-04-18,34293,14.99,0.06,39866,16.89,0.07,39650,16.81,0.07,40082,16.97,0.07
2020-04-19,30950,13.53,0.05,36406,15.42,0.06,36190,15.35,0.06,36622,15.5,0.06
2020-04-20,27583,12.06,0.05,32884,13.93,0.05,32668,13.85,0.05,33101,14.01,0.05
2020-04-21,25422,11.11,0.04,30639,12.98,0.05,30423,12.9,0.05,30855,13.06,0.05
2020-04-22,25339,11.08,0.04,30586,12.96,0.05,30370,12.88,0.05,30802,13.04,0.05
2020-04-23,23631,10.33,0.04,28764,12.19,0.05,28548,12.11,0.05,28980,12.27,0.05
2020-04-24,19886,8.69,0.03,24777,10.5,0.04,24561,10.41,0.04,24993,10.58,0.04
2020-04-25,17960,7.85,0.03,22701,9.62,0.04,22485,9.53,0.04,22917,9.7,0.04
2020-04-26,15232,6.66,0.03,19809,8.39,0.03,19593,8.31,0.03,20025,8.48,0.03
2020-04-27,14056,6.14,0.02,18528,7.85,0.03,18312,7.77,0.03,18744,7.93,0.03
2020-04-28,12860,5.62,0.02,17265,7.31,0.03,17049,7.23,0.03,17481,7.4,0.03
2020-04-29,13005,5.69,0.02,17527,7.43,0.03,17310,7.34,0.03,17743,7.51,0.03
2020-04-30,11849,5.18,0.02,16180,6.85,0.03,15964,6.77,0.03,16397,6.94,0.03
2020-05-01,10517,4.6,0.02,14775,6.26,0.02,14559,6.17,0.02,14991,6.35,0.02
2020-05-02,9516,4.16,0.02,13675,5.79,0.02,13459,5.71,0.02,13891,5.88,0.02
2020-05-03,6893,3.01,0.01,10595,4.49,0.02,10378,4.4,0.02,10811,4.58,0.02
2020-05-04,6862,3,0.01,10659,4.52,0.02,10443,4.43,0.02,10875,4.6,0.02
2020-05-05,5571,2.44,0.01,9089,3.85,0.02,8872,3.76,0.01,9305,3.94,0.02
