"date","C_uk_mean","C_uk_q.025","C_uk_q.975","C_uk_real","C_uk-cn_mean","C_uk-cn_q.025","C_uk-cn_q.975","C_uk-kr_mean","C_uk-kr_q.025","C_uk-kr_q.975"
"2020-02-05",2,2,2,2,2,2,2,2,2,2
"2020-02-06",2,2,2,2,2,2,2,2,2,2
"2020-02-07",3,3,3,3,3,3,3,3,3,3
"2020-02-08",3,3,3,3,3,3,3,3,3,3
"2020-02-09",3,3,3,3,3,3,3,3,3,3
"2020-02-10",4,4,4,4,4,4,4,4,4,4
"2020-02-11",8,8,8,8,8,8,8,8,8,8
"2020-02-12",8,8,8,8,8,8,8,8,8,8
"2020-02-13",9,9,9,9,9,9,9,9,9,9
"2020-02-14",9,9,9,9,9,9,9,9,9,9
"2020-02-15",9,9,9,9,9,9,9,9,9,9
"2020-02-16",9,9,9,9,9,9,9,9,9,9
"2020-02-17",9,9,9,9,9,9,9,9,9,9
"2020-02-18",9,9,9,9,9,9,9,9,9,9
"2020-02-19",9,9,9,9,9,9,9,9,9,9
"2020-02-20",9,9,9,9,9,9,9,9,9,9
"2020-02-21",9,9,9,9,9,9,9,9,9,9
"2020-02-22",9,9,9,9,9,9,9,9,9,9
"2020-02-23",9,9,9,9,9,9,9,9,9,9
"2020-02-24",9,9,9,9,9,9,9,9,9,9
"2020-02-25",9,9,9,9,9,9,9,9,9,9
"2020-02-26",9,9,9,9,9,9,9,9,9,9
"2020-02-27",9,9,9,9,9,9,9,9,9,9
"2020-02-28",12,12,12,12,12,12,12,12,12,12
"2020-02-29",16,16,16,16,16,16,16,16,16,16
"2020-03-01",19,19,19,19,19,19,19,19,19,19
"2020-03-02",32,32,32,32,32,32,32,32,32,32
"2020-03-03",35,35,35,35,35,35,35,35,35,35
"2020-03-04",47,47,47,47,47,47,47,47,47,47
"2020-03-05",85,85,85,85,85,85,85,85,85,85
"2020-03-06",114,114,114,114,114,114,114,114,114,114
"2020-03-07",163,163,163,163,163,163,163,163,163,163
"2020-03-08",206,206,206,206,206,206,206,206,206,206
"2020-03-09",273,273,273,273,273,273,273,273,273,273
"2020-03-10",319,319,319,319,319,319,319,319,319,319
"2020-03-11",369,369,369,369,369,369,369,369,369,369
"2020-03-12",456,456,456,456,456,456,456,456,456,456
"2020-03-13",590,590,590,590,590,590,590,590,590,590
"2020-03-14",798,798,798,798,798,798,798,798,798,798
"2020-03-15",1140,1140,1140,1140,1140,1140,1140,1140,1140,1140
"2020-03-16",1391,1391,1391,1391,1391,1391,1391,1391,1391,1391
"2020-03-17",1543,1543,1543,1543,1543,1543,1543,1543,1543,1543
"2020-03-18",1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
"2020-03-19",2622,2622,2622,2622,2622,2622,2622,2622,2622,2622
"2020-03-20",3269,3269,3269,3269,3269,3269,3269,3269,3269,3269
"2020-03-21",3975,3975,3975,3975,3975,3975,3975,3975,3975,3975
"2020-03-22",5010,5010,5010,5010,5010,5010,5010,5010,5010,5010
"2020-03-23",5679,5679,5679,5679,5679,5679,5679,5679,5679,5679
"2020-03-24",6646,6646,6646,6646,6646,6646,6646,6646,6646,6646
"2020-03-25",8073,8073,8073,8073,8073,8073,8073,8073,8073,8073
"2020-03-26",9525,9525,9525,9525,9525,9525,9525,9525,9525,9525
"2020-03-27",11654,11654,11654,11654,11654,11654,11654,11654,11654,11654
"2020-03-28",14539,14539,14539,14539,14539,14539,14539,14539,14539,14539
"2020-03-29",17085,17085,17085,17085,17085,17085,17085,17085,17085,17085
"2020-03-30",19518,19518,19518,19518,19518,19518,19518,19518,19518,19518
"2020-03-31",22137,22137,22137,22137,22137,22137,22137,22137,22137,22137
"2020-04-01",25146,25146,25146,25146,25146,25146,25146,25146,25146,25146
"2020-04-02",29380,29380,29380,29380,29380,29380,29380,29380,29380,29380
"2020-04-03",33624,33624,33624,33624,33624,33624,33624,33624,33624,33624
"2020-04-04",38074,38074,38074,38074,38074,38074,38074,38074,38074,38074
"2020-04-05",41809,41809,41809,41809,41809,41809,41809,41809,41809,41809
"2020-04-06",47712,47712,47712,47712,47712,47712,47712,47712,47712,47712
"2020-04-07",51514,51514,51514,51514,51514,51514,51514,51514,51514,51514
"2020-04-08",55148,55148,55148,55148,55148,55148,55148,55148,55148,55148
"2020-04-09",60639,60639,60639,60639,60639,60639,60639,60639,60639,60639
"2020-04-10",64983,64983,64983,64983,64983,64983,64983,64983,64983,64983
"2020-04-11",70178,70178,70178,70178,70178,70178,70178,70178,70178,70178
"2020-04-12",78897,78897,78897,78897,78897,78897,78897,78897,78897,78897
"2020-04-13",84185,84185,84185,84185,84185,84185,84185,84185,84185,84185
"2020-04-14",88527,88527,88527,88527,88527,88527,88527,88527,88527,88527
"2020-04-15",93779,93779,93779,93779,93779,93779,93779,93779,93779,93779
"2020-04-16",98382,98382,98382,98382,98382,98382,98382,98382,98382,98382
"2020-04-17",102999,102999,102999,102999,102999,102999,102999,102999,102999,102999
"2020-04-18",108598,108598,108598,108598,108598,108598,108598,108598,108598,108598
"2020-04-19",114123,114123,114123,114123,114123,114123,114123,114123,114123,114123
"2020-04-20",119973,119973,119973,119973,119973,119973,119973,119973,119973,119973
"2020-04-21",124649,124649,124649,124649,124649,124649,124649,124649,124649,124649
"2020-04-22",128950,128950,128950,128950,128950,128950,128950,128950,128950,128950
"2020-04-23",133401,133401,133401,133401,133401,133401,133401,133401,133401,133401
"2020-04-24",137984,137984,137984,137984,137984,137984,137984,137984,137984,137984
"2020-04-25",143370,143370,143370,143370,143370,143370,143370,143370,143370,143370
"2020-04-26",148283,148283,148283,148283,148283,148283,148283,148283,148283,148283
"2020-04-27",152746,152746,152746,152746,152746,152746,152746,152746,152746,152746
"2020-04-28",157055,157055,157055,157055,157055,157055,157055,157055,157055,157055
"2020-04-29",161051,161051,161051,161051,161051,161051,161051,161051,161051,161051
"2020-04-30",165127,165127,165127,165127,165127,165127,165127,165127,165127,165127
"2020-05-01",171159,171159,171159,171159,171159,171159,171159,171159,171159,171159
"2020-05-02",177360,177360,177360,177360,177360,177360,177360,177360,177360,177360
"2020-05-03",182166,182166,182166,182166,182166,182166,182166,182166,182166,182166
"2020-05-04",186505,186505,186505,186505,186505,186505,186505,186505,186505,186505
"2020-05-05",190490,190490,190490,190490,190490,190490,190490,190490,190490,190490
"2020-05-06",194896,194896,194896,194896,194896,194896,194896,194896,194896,194896
"2020-05-07",201107,201107,201107,201107,201107,201107,201107,201107,201107,201107
"2020-05-08",206621,206621,206621,206621,206621,206621,206621,206621,206621,206621
"2020-05-09",211270,211270,211270,211270,211270,211270,211270,211270,211270,211270
"2020-05-10",215733.45,215593.375,215861.5,215166,215147.34,215033.325,215282.525,216068.15,215933.925,216174.3
"2020-05-11",220044.88,219840.125,220257.825,219089,218446.27,218278.45,218642.475,220272.65,220049.025,220428.35
"2020-05-12",224198.43,223940.675,224443.2,222966,222095.45,221849.175,222320.95,222733.73,222503,222933.025
"2020-05-13",228177.87,227884.2,228497.975,226369,224141.27,223908.75,224399.55,225210.38,224926.6,225430.2
"2020-05-14",231970.19,231608.425,232308.2,229611,226342.33,226080.675,226621.6,228008.48,227664.075,228260.1
"2020-05-15",235580.49,235131.525,235974.825,233057,228291.09,228027.85,228623.075,230082.34,229697.8,230396.25
"2020-05-16",239003.31,238500.75,239480.1,236617,230017.14,229735.375,230399.275,231538.48,231126.275,231907.325
"2020-05-17",242243.26,241621.8,242764.575,240067,231561.44,231232.4,231957.525,233155.46,232728.55,233533.15
"2020-05-18",245306.92,244593.225,245884.55,243601,232939.33,232585.375,233359.7,234883.46,234411.725,235303.575
"2020-05-19",248187.38,247454.175,248760.525,246312,234165.57,233795.325,234602.25,236255.8,235794.4,236723.575
"2020-05-20",250899.18,250134.55,251579.675,248724,235249.27,234858.8,235729.2,237737.97,237257.075,238213.1
"2020-05-21",253431.98,252602.9,254154.525,248724,236218.48,235804.325,236751.275,239226.33,238703.8,239725.05
"2020-05-22",255793.15,254984.225,256556.1,251339,237079.46,236654.4,237614.825,240454.28,239901.6,240961.525
"2020-05-23",257990,257144.775,258825.15,254626,237843.28,237393.275,238390.3,241688.47,241079.525,242231.7
"2020-05-24",260032.09,259159.025,260870.4,NA,238524.93,238058.9,239109.875,242718.29,242096.825,243254.625
"2020-05-25",261923.16,261016.15,262823.375,NA,239131.95,238635.85,239749.9,243210.18,242560.175,243752.15
