"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-15,251929,98.94,0.37,282136,99.05,0.42,278268,99.04,0.41,286005,99.07,0.42
2020-03-16,250329,98.31,0.37,280536,98.49,0.41,276667,98.47,0.41,284405,98.51,0.42
2020-03-17,249856,98.13,0.37,280062,98.32,0.41,276194,98.3,0.41,283931,98.35,0.42
2020-03-18,249795,98.1,0.37,280002,98.3,0.41,276133,98.28,0.41,283871,98.33,0.42
2020-03-19,248484,97.59,0.37,278690,97.84,0.41,274821,97.81,0.4,282559,97.87,0.42
2020-03-20,245962,96.6,0.36,276167,96.96,0.41,272298,96.92,0.4,280035,97,0.41
2020-03-21,243846,95.77,0.36,274047,96.21,0.4,270178,96.16,0.4,277916,96.26,0.41
2020-03-22,241814,94.97,0.36,272015,95.5,0.4,268147,95.44,0.39,275884,95.56,0.41
2020-03-23,238356,93.61,0.35,268553,94.28,0.4,264684,94.21,0.39,272422,94.36,0.4
2020-03-24,237297,93.19,0.35,267493,93.91,0.39,263625,93.83,0.39,271362,93.99,0.4
2020-03-25,234985,92.29,0.35,265180,93.1,0.39,261311,93,0.38,269049,93.19,0.4
2020-03-26,230635,90.58,0.34,260825,91.57,0.38,256956,91.45,0.38,264693,91.68,0.39
2020-03-27,226529,88.97,0.33,256715,90.13,0.38,252846,89.99,0.37,260584,90.26,0.38
2020-03-28,219745,86.3,0.32,249919,87.74,0.37,246050,87.57,0.36,253788,87.91,0.37
2020-03-29,209930,82.45,0.31,240090,84.29,0.35,236221,84.07,0.35,243958,84.5,0.36
2020-03-30,203130,79.78,0.3,233272,81.9,0.34,229403,81.65,0.34,237141,82.14,0.35
2020-03-31,197856,77.7,0.29,227990,80.04,0.34,224122,79.77,0.33,231859,80.31,0.34
2020-04-01,192648,75.66,0.28,222765,78.21,0.33,218896,77.91,0.32,226634,78.5,0.33
2020-04-02,186208,73.13,0.27,216306,75.94,0.32,212437,75.61,0.31,220175,76.26,0.32
2020-04-03,174423,68.5,0.26,204490,71.79,0.3,200621,71.4,0.3,208358,72.17,0.31
2020-04-04,163511,64.22,0.24,193540,67.95,0.29,189671,67.51,0.28,197409,68.38,0.29
2020-04-05,157958,62.04,0.23,187964,65.99,0.28,184095,65.52,0.27,191833,66.45,0.28
2020-04-06,162484,63.81,0.24,192510,67.59,0.28,188641,67.14,0.28,196379,68.02,0.29
2020-04-07,149777,58.82,0.22,179743,63.1,0.26,175875,62.6,0.26,183612,63.6,0.27
2020-04-08,145607,57.18,0.21,175550,61.63,0.26,171681,61.1,0.25,179419,62.15,0.26
2020-04-09,143448,56.34,0.21,173360,60.86,0.26,169491,60.32,0.25,177229,61.39,0.26
2020-04-10,140795,55.29,0.21,170694,59.93,0.25,166825,59.38,0.25,174563,60.46,0.26
2020-04-11,135886,53.37,0.2,165746,58.19,0.24,161877,57.61,0.24,169615,58.75,0.25
2020-04-12,128648,50.52,0.19,158459,55.63,0.23,154590,55.02,0.23,162327,56.23,0.24
2020-04-13,100500,39.47,0.15,130073,45.67,0.19,126204,44.92,0.19,133942,46.39,0.2
2020-04-14,102145,40.12,0.15,131718,46.24,0.19,127849,45.5,0.19,135587,46.96,0.2
2020-04-15,101051,39.69,0.15,130584,45.85,0.19,126715,45.1,0.19,134453,46.57,0.2
2020-04-16,96543,37.92,0.14,125998,44.24,0.19,122129,43.47,0.18,129867,44.98,0.19
2020-04-17,121551,47.74,0.18,151310,53.12,0.22,147441,52.48,0.22,155179,53.75,0.23
2020-04-18,117900,46.3,0.17,147619,51.83,0.22,143750,51.16,0.21,151488,52.47,0.22
2020-04-19,113402,44.54,0.17,143071,50.23,0.21,139202,49.54,0.21,146939,50.9,0.22
