"C_uk-kr_T_mean","C_uk-kr_T_q.025","C_uk-kr_T_q.975","date_T","C_uk-kr_E_mean","C_uk-kr_E_q.025","C_uk-kr_E_q.975","date_E","C_uk_T","C_uk_E_mean","C_uk_E_std","C_uk_E_lb","C_uk_E_ub"
2629.05,2358.75,2937.775,2020-03-15,2645.41,2373.65,2971.25,2020-03-15,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
6925.17,6344.65,7644.975,2020-03-16,6984.36,6403.2,7706.925,2020-03-16,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
4712.74,4298.3,5105.65,2020-03-17,4745.42,4312.15,5158,2020-03-17,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
4298.52,3968.4,4700.8,2020-03-18,4330.43,3975.65,4793.3,2020-03-18,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
5368.76,4982.95,5775.525,2020-03-19,5413,5001.425,5851.575,2020-03-19,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
8518.96,8042.675,9049.375,2020-03-20,8598.46,8089.85,9146.925,2020-03-20,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
10614.75,10092.225,11257.9,2020-03-21,10720.32,10198.95,11359.725,2020-03-21,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
11272.83,10656.675,11883.525,2020-03-22,11384.98,10753.5,12026.125,2020-03-22,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
14117.99,13484.9,14756.65,2020-03-23,14295.67,13637.525,14993.15,2020-03-23,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
14507.32,13946.4,15155.425,2020-03-24,14682.35,14064.2,15312.95,2020-03-24,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
16510.05,15707.775,17306.325,2020-03-25,16722.14,15834.6,17582.975,2020-03-25,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
20044.56,19415.8,20656.05,2020-03-26,20321.2,19628.925,20982.325,2020-03-26,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
23446.98,22632.85,24139.525,2020-03-27,23774.1,22918,24572.025,2020-03-27,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
28894.16,27936.05,29670.35,2020-03-28,29335.23,28259.65,30233.55,2020-03-28,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
38804.11,37888.7,39747.625,2020-03-29,39494.78,38516.125,40549.525,2020-03-29,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
42850.36,41856.45,44059.525,2020-03-30,43655.27,42638.9,44961.8,2020-03-30,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
47300.51,46283.15,48450.35,2020-03-31,48237.55,47144.3,49607.05,2020-03-31,254626,284833.92047619,3868.90378393994,280965.016692251,288702.82426013
