"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-03-15,251997,98.97,0.37,282189,99.07,0.42,278320,99.06,0.41,286057,99.08,0.42
2020-03-16,247701,97.28,0.36,277850,97.55,0.41,273981,97.51,0.4,281718,97.58,0.41
2020-03-17,249913,98.15,0.37,280089,98.33,0.41,276220,98.31,0.41,283957,98.36,0.42
2020-03-18,250327,98.31,0.37,280503,98.48,0.41,276635,98.46,0.41,284372,98.5,0.42
2020-03-19,249257,97.89,0.37,279421,98.1,0.41,275552,98.07,0.41,283290,98.13,0.42
2020-03-20,246107,96.65,0.36,276235,96.98,0.41,272367,96.94,0.4,280104,97.02,0.41
2020-03-21,244011,95.83,0.36,274114,96.24,0.4,270245,96.18,0.4,277983,96.29,0.41
2020-03-22,243353,95.57,0.36,273449,96,0.4,269580,95.95,0.4,277318,96.06,0.41
2020-03-23,240508,94.46,0.35,270538,94.98,0.4,266669,94.91,0.39,274407,95.05,0.4
2020-03-24,240119,94.3,0.35,270152,94.85,0.4,266283,94.77,0.39,274020,94.91,0.4
2020-03-25,238116,93.52,0.35,268112,94.13,0.39,264243,94.05,0.39,271981,94.21,0.4
2020-03-26,234581,92.13,0.35,264513,92.87,0.39,260644,92.77,0.38,268382,92.96,0.4
2020-03-27,231179,90.79,0.34,261060,91.65,0.38,257191,91.54,0.38,264929,91.77,0.39
2020-03-28,225732,88.65,0.33,255499,89.7,0.38,251630,89.56,0.37,259368,89.84,0.38
2020-03-29,215822,84.76,0.32,245339,86.13,0.36,241470,85.94,0.36,249208,86.32,0.37
2020-03-30,211776,83.17,0.31,241179,84.67,0.36,237310,84.46,0.35,245048,84.88,0.36
2020-03-31,207325,81.42,0.31,236596,83.06,0.35,232727,82.83,0.34,240465,83.29,0.35
2020-04-01,206630,81.15,0.3,235894,82.82,0.35,232025,82.58,0.34,239762,83.05,0.35
2020-04-02,201354,79.08,0.3,230473,80.91,0.34,226604,80.65,0.33,234342,81.17,0.35
2020-04-03,192324,75.53,0.28,221225,77.67,0.33,217356,77.36,0.32,225094,77.97,0.33
2020-04-04,183801,72.18,0.27,212468,74.59,0.31,208599,74.24,0.31,216337,74.93,0.32
2020-04-05,179040,70.31,0.26,207548,72.87,0.31,203679,72.49,0.3,211417,73.23,0.31
2020-04-06,174264,68.44,0.26,202631,71.14,0.3,198762,70.74,0.29,206500,71.53,0.3
2020-04-07,163155,64.08,0.24,191184,67.12,0.28,187315,66.67,0.28,195053,67.56,0.29
2020-04-08,159465,62.63,0.23,187356,65.78,0.28,183487,65.31,0.27,191225,66.24,0.28
2020-04-09,158859,62.39,0.23,186714,65.55,0.28,182845,65.08,0.27,190583,66.01,0.28
2020-04-10,150549,59.13,0.22,178135,62.54,0.26,174266,62.02,0.26,182004,63.04,0.27
2020-04-11,150170,58.98,0.22,177752,62.41,0.26,173883,61.89,0.26,181621,62.91,0.27
2020-04-12,143466,56.34,0.21,170704,59.93,0.25,166835,59.38,0.25,174573,60.47,0.26
2020-04-13,121738,47.81,0.18,147901,51.93,0.22,144033,51.26,0.21,151770,52.57,0.22
2020-04-14,120839,47.46,0.18,146966,51.6,0.22,143097,50.93,0.21,150834,52.25,0.22
2020-04-15,118880,46.69,0.18,144837,50.85,0.21,140968,50.17,0.21,148705,51.51,0.22
2020-04-16,114692,45.04,0.17,140440,49.31,0.21,136571,48.61,0.2,144309,49.99,0.21
2020-04-17,111677,43.86,0.16,137309,48.21,0.2,133440,47.49,0.2,141178,48.9,0.21
2020-04-18,108694,42.69,0.16,134143,47.1,0.2,130274,46.37,0.19,138011,47.8,0.2
2020-04-19,102548,40.27,0.15,127553,44.78,0.19,123684,44.02,0.18,131422,45.52,0.19
2020-04-20,96833,38.03,0.14,122624,43.05,0.18,118755,42.27,0.17,126492,43.81,0.19
2020-04-21,90086,35.38,0.13,115383,40.51,0.17,111514,39.69,0.16,119252,41.31,0.18
2020-04-22,86544,33.99,0.13,111724,39.22,0.16,107855,38.39,0.16,115592,40.04,0.17
2020-04-23,84526,33.2,0.12,109742,38.53,0.16,105873,37.68,0.16,113611,39.35,0.17
2020-04-24,81939,32.18,0.12,106641,37.44,0.16,102772,36.58,0.15,110510,38.28,0.16
2020-04-25,78908,30.99,0.12,102763,36.08,0.15,98894,35.2,0.15,106632,36.93,0.16
2020-04-26,73052,28.69,0.11,96359,33.83,0.14,92490,32.92,0.14,100228,34.72,0.15
2020-04-27,68573,26.93,0.1,91223,32.03,0.13,87355,31.09,0.13,95092,32.94,0.14
2020-04-28,69520,27.3,0.1,94582,33.21,0.14,90713,32.29,0.13,98451,34.1,0.15
2020-04-29,66443,26.09,0.1,91234,32.03,0.13,87365,31.09,0.13,95102,32.94,0.14
2020-04-30,64188,25.21,0.09,88826,31.19,0.13,84958,30.24,0.13,92695,32.11,0.14
2020-05-01,61219,24.04,0.09,85500,30.02,0.13,81631,29.05,0.12,89369,30.96,0.13
2020-05-02,47987,18.85,0.07,67733,23.78,0.1,63864,22.73,0.09,71602,24.8,0.11
2020-05-03,48534,19.06,0.07,63090,22.15,0.09,59221,21.08,0.09,66959,23.19,0.1
2020-05-04,32640,12.82,0.05,50438,17.71,0.07,46570,16.57,0.07,54307,18.81,0.08
